,Unnamed: 0,Lat,Lon,MeanDiff,Region,Uni,Colours
0,0,[52.8189952],[-1.03307005],13.041826923076924,East Midlands,0,"rgb(19, 85, 163)"
1,1,[52.8189952],[-1.03307005],14.216666666666667,East Midlands,1,"rgb(23, 77, 160)"
2,2,[52.0443714],[0.28881048],12.399242424242427,East of England,0,"rgb(16, 89, 165)"
3,3,[52.0443714],[0.28881048],18.17142857142857,East of England,1,"rgb(37, 52, 148)"
4,4,[51.51111988],[-0.13177043],15.159815950920244,London,0,"rgb(26, 71, 157)"
5,5,[51.51111988],[-0.13177043],8.655555555555559,London,1,"rgb(27, 116, 178)"
6,6,[-1.],[-1.],12.732,None,0,"rgb(17, 87, 164)"
7,7,[-1.],[-1.],11.800000000000002,None,1,"rgb(14, 93, 167)"
8,8,[54.82625693],[-1.47840356],10.536170212765958,North East,0,"rgb(10, 101, 171)"
9,9,[54.82625693],[-1.47840356],16.2,North East,1,"rgb(30, 65, 154)"
10,10,[53.54526751],[-2.54766754],11.448679245283019,North West,0,"rgb(13, 95, 168)"
11,11,[53.54526751],[-2.54766754],16.080000000000002,North West,1,"rgb(29, 65, 154)"
12,12,[54.45496612],[-6.24567408],-8.725,Northern Ireland,0,"rgb(255, 255, 204)"
13,13,[54.45496612],[-6.24567408],0.0,Northern Ireland,1,"rgb(168, 221, 182)"
14,14,[56.17090113],[-3.54345935],12.38,Scotland,0,"rgb(16, 89, 165)"
15,15,[56.17090113],[-3.54345935],12.2,Scotland,1,"rgb(16, 90, 166)"
16,16,[51.29913848],[-0.57986423],12.541720430107524,South East,0,"rgb(17, 88, 165)"
17,17,[51.29913848],[-0.57986423],14.236363636363635,South East,1,"rgb(23, 77, 160)"
18,18,[51.18089633],[-2.65482163],14.647540983606556,South West,0,"rgb(24, 75, 158)"
19,19,[51.18089633],[-2.65482163],15.3125,South West,1,"rgb(27, 70, 157)"
20,20,[51.96750371],[-3.36907266],9.665909090909091,Wales,0,"rgb(14, 108, 174)"
21,21,[51.96750371],[-3.36907266],3.7,Wales,1,"rgb(89, 191, 192)"
22,22,[52.50382935],[-1.93506959],12.637614678899084,West Midlands,0,"rgb(17, 88, 164)"
23,23,[52.50382935],[-1.93506959],8.133333333333333,West Midlands,1,"rgb(34, 121, 181)"
24,24,[53.74670854],[-1.38816447],14.44577114427861,Yorkshire and The Humber,0,"rgb(24, 76, 159)"
25,25,[53.74670854],[-1.38816447],16.3,Yorkshire and The Humber,1,"rgb(30, 64, 154)"
